"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AC144831.1",77.9169980527946,-2.68755179759155,0.448182759836953,2.03846490376953e-10,1.52884867782715e-08
"TOX",490.164196372278,-2.27011061056804,0.378719781717231,2.11737176371628e-10,1.58087553980168e-08
"NBPF1",790.229907011567,-1.79979479476683,0.298465288818007,2.33248207105717e-10,1.73367221200774e-08
"RCAN2",648.920044978344,-2.05122642338542,0.342270170331953,2.38121391090917e-10,1.75544722371995e-08
"AXIN2",2637.58091274329,2.18317959365226,0.364358229094156,2.38296003219902e-10,1.75544722371995e-08
"LRP8",346.298899572808,2.82577572011515,0.477491873530832,2.45193682623648e-10,1.79826782720663e-08
"C2orf61",15.0397080162845,3.98659899449327,0.668239402857108,2.48120002876531e-10,1.81171323686278e-08
"S100A2",182.273661275589,4.14550730940448,0.709735263155147,2.58788833783765e-10,1.88132671928329e-08
"MYH11",123822.350947564,-5.30521921223944,0.914754938120988,2.83628278141556e-10,2.05289900008572e-08
"TMEM211",193.091297935397,5.8604372012309,1.01084134559253,2.87891059972789e-10,2.07469318219521e-08
"MCIDAS",20.8911703194913,4.26677168894788,0.7274187160793,3.08978345488253e-10,2.21701994652285e-08
"KAT2A",1922.62658035756,1.65519746198835,0.276387057613511,3.12429879149018e-10,2.23212295124783e-08
"PDPN",624.95144295323,1.93251749657022,0.324772195963855,3.18773889725931e-10,2.26767262755678e-08
"HIST1H1C",1098.8763423333,-2.76759120271385,0.473002178677959,3.47476856907162e-10,2.46129440309239e-08
"ZC3HAV1L",211.846578528387,2.59358964974564,0.443204451528211,3.65738294651454e-10,2.5796222271693e-08
"VIP",1018.56771295426,-3.41808991487955,0.591014035514256,3.97616340798893e-10,2.79258086811087e-08
"TACR2",1122.24197093508,-4.41987872939331,0.766108157223688,4.01934029124939e-10,2.81099431761429e-08
"RUVBL1",1996.29615733984,1.96971954193624,0.331868761750412,4.19679678663851e-10,2.92276919069468e-08
"SLC39A10",815.552449379715,1.99929400247557,0.338280533367679,4.30750580430963e-10,2.98731835591766e-08
"NBEA",274.885567983586,-3.99082567375826,0.683903444754256,4.47799838524021e-10,3.09261763480652e-08
"PCSK5",1719.82192725056,-2.68081923806173,0.459886606601321,4.5005792961132e-10,3.09531542875835e-08
"SLC38A5",2413.60741180265,2.85306131906934,0.490217297692032,4.53845248869309e-10,3.10846487603669e-08
"NR2C2AP",693.232580727068,1.46907997654787,0.246307791832871,4.59991310109269e-10,3.13759504735026e-08
"CGREF1",644.851806990774,3.49740037571945,0.605068037976071,4.65564314658182e-10,3.16259365387679e-08
"C7",2851.93756422349,-4.01623960127367,0.698348113006185,4.70655155050936e-10,3.18412620202827e-08
"MT-TY",1025.83199360127,5.69296753494589,0.997119411012854,5.00087722911424e-10,3.3694934988849e-08
"PRR7",408.78754471976,4.05707293315268,0.706848110188198,5.084862953343e-10,3.41221066605912e-08
"ZP3",368.759455962383,2.51766403872585,0.433033637734578,5.14074030384653e-10,3.43579719904259e-08
"TDP2",6819.21698701554,-2.41095245097897,0.414695852971959,5.40369893975798e-10,3.59704055929673e-08
"AHCY",14706.0930304168,2.23015250010586,0.381912295109367,5.57038184041006e-10,3.69316316019187e-08
"OLR1",95.3320879421711,4.11397156692856,0.717150790106834,5.75571318568405e-10,3.80083450409216e-08
"ETFDH",1228.56706932474,-2.22586778547995,0.38264601856198,5.95034105382517e-10,3.91376599076001e-08
"S100A11",9743.31037341041,2.3983453196919,0.413588199604125,6.1783775139511e-10,4.04769198789484e-08
"LMO3",468.354864887642,-4.40749517220526,0.77028966048797,6.43017181869202e-10,4.18603151858539e-08
"CXCL1",1245.44631919392,3.45238173191086,0.603220368110863,6.46065892099839e-10,4.18603151858539e-08
"TRAP1",3989.25449681555,1.95778181965785,0.333829361787865,6.46530358224953e-10,4.18603151858539e-08
"IGSF3",1456.09487572215,-1.72932070753948,0.294749159148135,6.55755316530439e-10,4.22923905505527e-08
"SLC12A8",526.8338920944,1.35484580553371,0.228347756399252,6.94167347681971e-10,4.45962162318941e-08
"RPN2",13189.4776321871,1.18266709638259,0.198196292290469,7.00821068147628e-10,4.48498424885982e-08
"CCDC69",2623.85363117675,-3.03765149180858,0.531797878446771,7.17760633263031e-10,4.57572403705182e-08
"CST2",142.161534544956,8.88579266269893,1.58146058549658,7.44977779285451e-10,4.73103704661163e-08
